# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.200000000    7.475492460    9.700012188    9.023096219
    0.207178631    7.473785597    9.697578887    9.020968213
    0.214357262    7.472019916    9.695061849    9.018766675
    0.221535893    7.470195553    9.692461280    9.016491757
    0.228714524    7.468312651    9.689777393    9.014143618
    0.235893155    7.466371356    9.687010408    9.011722419
    0.243071786    7.464371817    9.684160548    9.009228327
    0.250250417    7.462314189    9.681228043    9.006661513
    0.257429048    7.460198629    9.678213129    9.004022154
    0.264607679    7.458025297    9.675116046    9.001310427
    0.271786311    7.455794360    9.671937041    8.998526520
    0.278964942    7.453505987    9.668676365    8.995670619
    0.286143573    7.451160348    9.665334274    8.992742919
    0.293322204    7.448757620    9.661911029    8.989743615
    0.300500835    7.446297982    9.658406898    8.986672911
    0.307679466    7.443781617    9.654822149    8.983531011
    0.314858097    7.441208711    9.651157061    8.980318124
    0.322036728    7.438579452    9.647411911    8.977034464
    0.329215359    7.435894033    9.643586987    8.973680250
    0.336393990    7.433152650    9.639682575    8.970255701
    0.343572621    7.430355501    9.635698970    8.966761043
    0.350751252    7.427502787    9.631636470    8.963196506
    0.357929883    7.424594713    9.627495375    8.959562321
    0.365108514    7.421631487    9.623275992    8.955858725
    0.372287145    7.418613319    9.618978631    8.952085959
    0.379465776    7.415540421    9.614603604    8.948244265
    0.386644407    7.412413009    9.610151229    8.944333890
    0.393823038    7.409231302    9.605621827    8.940355085
    0.401001669    7.405995520    9.601015721    8.936308105
    0.408180301    7.402705887    9.596333241    8.932193205
    0.415358932    7.399362628    9.591574717    8.928010646
    0.422537563    7.395965972    9.586740483    8.923760693
    0.429716194    7.392516150    9.581830877    8.919443612
    0.436894825    7.389013394    9.576846241    8.915059673
    0.444073456    7.385457939    9.571786918    8.910609149
    0.451252087    7.381850023    9.566653255    8.906092316
    0.458430718    7.378189886    9.561445602    8.901509454
    0.465609349    7.374477768    9.556164312    8.896860844
    0.472787980    7.370713913    9.550809741    8.892146771
    0.479966611    7.366898567    9.545382246    8.887367523
    0.487145242    7.363031976    9.539882189    8.882523391
    0.494323873    7.359114391    9.534309932    8.877614666
    0.501502504    7.355146063    9.528665842    8.872641646
    0.508681135    7.351127243    9.522950288    8.867604629
    0.515859766    7.347058187    9.517163639    8.862503915
    0.523038397    7.342939151    9.511306269    8.857339809
    0.530217028    7.338770392    9.505378554    8.852112616
    0.537395659    7.334552170    9.499380871    8.846822644
    0.544574290    7.330284747    9.493313598    8.841470204
    0.551752922    7.325968383    9.487177119    8.836055610
    0.558931553    7.321603343    9.480971817    8.830579177
    0.566110184    7.317189893    9.474698078    8.825041221
    0.573288815    7.312728298    9.468356288    8.819442064
    0.580467446    7.308218827    9.461946838    8.813782027
    0.587646077    7.303661748    9.455470119    8.808061433
    0.594824708    7.299057333    9.448926523    8.802280609
    0.602003339    7.294405852    9.442316446    8.796439882
    0.609181970    7.289707578    9.435640284    8.790539584
