# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000   10.457536365   10.215352706    6.579324681
    0.207178631   10.459590913   10.217374127    6.580435757
    0.214357262   10.461718971   10.219467895    6.581586692
    0.221535893   10.463920651   10.221634124    6.582777559
    0.228714524   10.466196070   10.223872931    6.584008433
    0.235893155   10.468545346   10.226184437    6.585279393
    0.243071786   10.470968605   10.228568767    6.586590520
    0.250250417   10.473465975   10.231026050    6.587941898
    0.257429048   10.476037589   10.233556420    6.589333616
    0.264607679   10.478683583   10.236160016    6.590765763
    0.271786311   10.481404098   10.238836978    6.592238433
    0.278964942   10.484199280   10.241587454    6.593751723
    0.286143573   10.487069278   10.244411594    6.595305732
    0.293322204   10.490014246   10.247309554    6.596900566
    0.300500835   10.493034342   10.250281493    6.598536329
    0.307679466   10.496129729   10.253327576    6.600213133
    0.314858097   10.499300574   10.256447971    6.601931090
    0.322036728   10.502547049   10.259642851    6.603690319
    0.329215359   10.505869328   10.262912395    6.605490940
    0.336393990   10.509267594   10.266256785    6.607333079
    0.343572621   10.512742031   10.269676208    6.609216864
    0.350751252   10.516292829   10.273170856    6.611142427
    0.357929883   10.519920182   10.276740927    6.613109907
    0.365108514   10.523624291   10.280386623    6.615119444
    0.372287145   10.527405360   10.284108149    6.617171184
    0.379465776   10.531263597   10.287905720    6.619265277
    0.386644407   10.535199218   10.291779550    6.621401878
    0.393823038   10.539212440   10.295729864    6.623581147
    0.401001669   10.543303489   10.299756889    6.625803249
    0.408180301   10.547472594   10.303860857    6.628068354
    0.415358932   10.551719990   10.308042008    6.630376638
    0.422537563   10.556045917   10.312300587    6.632728282
    0.429716194   10.560450621   10.316636842    6.635123473
    0.436894825   10.564934353   10.321051030    6.637562406
    0.444073456   10.569497370   10.325543413    6.640045279
    0.451252087   10.574139935   10.330114260    6.642572300
    0.458430718   10.578862317   10.334763843    6.645143683
    0.465609349   10.583664790   10.339492445    6.647759650
    0.472787980   10.588547636   10.344300353    6.650420429
    0.479966611   10.593511141   10.349187860    6.653126260
    0.487145242   10.598555599   10.354155268    6.655877389
    0.494323873   10.603681312   10.359202886    6.658674073
    0.501502504   10.608888586   10.364331029    6.661516577
    0.508681135   10.614177736   10.369540020    6.664405179
    0.515859766   10.619549084   10.374830193    6.667340167
    0.523038397   10.625002960   10.380201886    6.670321843
    0.530217028   10.630539699   10.385655448    6.673350520
    0.537395659   10.636159649   10.391191237    6.676426526
    0.544574290   10.641863163   10.396809620    6.679550204
    0.551752922   10.647650603   10.402510973    6.682721915
    0.558931553   10.653522343   10.408295685    6.685942035
    0.566110184   10.659478762   10.414164154    6.689210962
    0.573288815   10.665520254   10.420116789    6.692529113
    0.580467446   10.671647222   10.426154014    6.695896929
    0.587646077   10.677860078   10.432276263    6.699314878
    0.594824708   10.684159250   10.438483986    6.702783453
    0.602003339   10.690545176   10.444777647    6.706303179
