# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.200000000    8.782465944    8.669353254    9.347965161
    0.207178631    8.780515414    8.667490212    9.345835833
    0.214357262    8.778497203    8.665562485    9.343632641
    0.221535893    8.776411426    8.663570177    9.341355710
    0.228714524    8.774258198    8.661513397    9.339005170
    0.235893155    8.772037640    8.659392253    9.336581155
    0.243071786    8.769749875    8.657206860    9.334083802
    0.250250417    8.767395031    8.654957336    9.331513253
    0.257429048    8.764973240    8.652643801    9.328869652
    0.264607679    8.762484636    8.650266378    9.326153150
    0.271786311    8.759929357    8.647825195    9.323363900
    0.278964942    8.757307544    8.645320382    9.320502059
    0.286143573    8.754619344    8.642752073    9.317567788
    0.293322204    8.751864906    8.640120405    9.314561253
    0.300500835    8.749044380    8.637425517    9.311482623
    0.307679466    8.746157924    8.634667554    9.308332070
    0.314858097    8.743205695    8.631846661    9.305109772
    0.322036728    8.740187858    8.628962988    9.301815907
    0.329215359    8.737104578    8.626016688    9.298450662
    0.336393990    8.733956023    8.623007917    9.295014222
    0.343572621    8.730742368    8.619936833    9.291506781
    0.350751252    8.727463787    8.616803598    9.287928533
    0.357929883    8.724120460    8.613608379    9.284279677
    0.365108514    8.720712570    8.610351341    9.280560415
    0.372287145    8.717240302    8.607032658    9.276770954
    0.379465776    8.713703845    8.603652502    9.272911504
    0.386644407    8.710103392    8.600211051    9.268982276
    0.393823038    8.706439137    8.596708484    9.264983489
    0.401001669    8.702711280    8.593144985    9.260915361
    0.408180301    8.698920021    8.589520739    9.256778118
    0.415358932    8.695065566    8.585835934    9.252571984
    0.422537563    8.691148121    8.582090762    9.248297192
    0.429716194    8.687167898    8.578285417    9.243953973
    0.436894825    8.683125111    8.574420097    9.239542566
    0.444073456    8.679019975    8.570494999    9.235063211
    0.451252087    8.674852711    8.566510329    9.230516150
    0.458430718    8.670623540    8.562466289    9.225901630
    0.465609349    8.666332688    8.558363088    9.221219902
    0.472787980    8.661980384    8.554200937    9.216471218
    0.479966611    8.657566858    8.549980048    9.211655834
    0.487145242    8.653092344    8.545700637    9.206774009
    0.494323873    8.648557078    8.541362923    9.201826005
    0.501502504    8.643961299    8.536967125    9.196812087
