# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000   12.833669371    2.906437180   12.894878059
    0.207178631   12.836294672    2.906702478   12.897595519
    0.214357262   12.839013858    2.906977221   12.900410224
    0.221535893   12.841827067    2.907261421   12.903322322
    0.228714524   12.844734442    2.907555085   12.906331968
    0.235893155   12.847736130    2.907858226   12.909439322
    0.243071786   12.850832284    2.908170853   12.912644551
    0.250250417   12.854023062    2.908492977   12.915947824
    0.257429048   12.857308626    2.908824609   12.919349318
    0.264607679   12.860689143    2.909165762   12.922849215
    0.271786311   12.864164787    2.909516447   12.926447702
    0.278964942   12.867735734    2.909876677   12.930144971
    0.286143573   12.871402167    2.910246463   12.933941220
    0.293322204   12.875164275    2.910625819   12.937836654
    0.300500835   12.879022249    2.911014759   12.941831480
    0.307679466   12.882976289    2.911413296   12.945925915
    0.314858097   12.887026596    2.911821444   12.950120178
    0.322036728   12.891173380    2.912239217   12.954414496
    0.329215359   12.895416853    2.912666630   12.958809101
    0.336393990   12.899757235    2.913103699   12.963304229
    0.343572621   12.904194750    2.913550438   12.967900125
    0.350751252   12.908729627    2.914006864   12.972597037
    0.357929883   12.913362101    2.914472992   12.977395221
    0.365108514   12.918092412    2.914948840   12.982294936
    0.372287145   12.922920806    2.915434423   12.987296451
    0.379465776   12.927847533    2.915929760   12.992400037
    0.386644407   12.932872850    2.916434867   12.997605974
    0.393823038   12.937997019    2.916949763   13.002914545
    0.401001669   12.943220308    2.917474467   13.008326043
    0.408180301   12.948542989    2.918008996   13.013840763
    0.415358932   12.953965342    2.918553370   13.019459009
    0.422537563   12.959487651    2.919107609   13.025181090
    0.429716194   12.965110205    2.919671731   13.031007322
    0.436894825   12.970833302    2.920245759   13.036938027
    0.444073456   12.976657243    2.920829711   13.042973532
    0.451252087   12.982582334    2.921423609   13.049114174
    0.458430718   12.988608891    2.922027474   13.055360292
    0.465609349   12.994737231    2.922641329   13.061712235
    0.472787980   13.000967681    2.923265195   13.068170357
    0.479966611   13.007300571    2.923899095   13.074735018
    0.487145242   13.013736240    2.924543051   13.081406586
    0.494323873   13.020275030    2.925197087   13.088185435
    0.501502504   13.026917292    2.925861227   13.095071948
    0.508681135   13.033663381    2.926535495   13.102066510
    0.515859766   13.040513660    2.927219915   13.109169518
    0.523038397   13.047468496    2.927914512   13.116381373
    0.530217028   13.054528266    2.928619312   13.123702484
    0.537395659   13.061693351    2.929334341   13.131133267
    0.544574290   13.068964138    2.930059624   13.138674145
    0.551752922   13.076341021    2.930795188   13.146325549
    0.558931553   13.083824403    2.931541060   13.154087917
    0.566110184   13.091414690    2.932297267   13.161961692
    0.573288815   13.099112296    2.933063838   13.169947329
    0.580467446   13.106917645    2.933840800   13.178045287
    0.587646077   13.114831162    2.934628183   13.186256034
    0.594824708   13.122853284    2.935426016   13.194580045
    0.602003339   13.130984452    2.936234327   13.203017804
    0.609181970   13.139225116    2.937053147   13.211569801
    0.616360601   13.147575732    2.937882507   13.220236536
    0.623539232   13.156036763    2.938722438   13.229018515
    0.630717863   13.164608679    2.939572970   13.237916253
    0.637896494   13.173291960    2.940434135   13.246930274
    0.645075125   13.182087090    2.941305967   13.256061109
    0.652253756   13.190994563    2.942188497   13.265309297
    0.659432387   13.200014878    2.943081759   13.274675388
    0.666611018   13.209148545    2.943985787   13.284159938
    0.673789649   13.218396079    2.944900614   13.293763512
    0.680968280   13.227758003    2.945826275   13.303486685
    0.688146912   13.237234851    2.946762806   13.313330039
    0.695325543   13.246827160    2.947710241   13.323294167
    0.702504174   13.256535480    2.948668618   13.333379669
    0.709682805   13.266360365    2.949637972   13.343587156
    0.716861436   13.276302380    2.950618340   13.353917247
    0.724040067   13.286362098    2.951609761   13.364370571
    0.731218698   13.296540100    2.952612272   13.374947765
    0.738397329   13.306836974    2.953625911   13.385649479
    0.745575960   13.317253319    2.954650719   13.396476368
    0.752754591   13.327789743    2.955686733   13.407429101
    0.759933222   13.338446860    2.956733996   13.418508355
    0.767111853   13.349225295    2.957792546   13.429714816
    0.774290484   13.360125682    2.958862426   13.441049183
    0.781469115   13.371148663    2.959943677   13.452512163
    0.788647746   13.382294892    2.961036341   13.464104475
    0.795826377   13.393565028    2.962140461   13.475826847
    0.803005008   13.404959744    2.963256080   13.487680019
    0.810183639   13.416479719    2.964383243   13.499664741
    0.817362270   13.428125644    2.965521994   13.511781774
    0.824540902   13.439898220    2.966672377   13.524031892
    0.831719533   13.451798155    2.967834439   13.536415877
    0.838898164   13.463826170    2.969008225   13.548934526
    0.846076795   13.475982996    2.970193783   13.561588644
    0.853255426   13.488269373    2.971391160   13.574379050
    0.860434057   13.500686052    2.972600403   13.587306576
    0.867612688   13.513233796    2.973821561   13.600372063
    0.874791319   13.525913376    2.975054683   13.613576365
    0.881969950   13.538725576    2.976299820   13.626920351
    0.889148581   13.551671190    2.977557021   13.640404899
    0.896327212   13.564751024    2.978826337   13.654030903
    0.903505843   13.577965895    2.980107821   13.667799267
    0.910684474   13.591316631    2.981401523   13.681710910
    0.917863105   13.604804072    2.982707498   13.695766764
    0.925041736   13.618429071    2.984025799   13.709967774
    0.932220367   13.632192489    2.985356479   13.724314898
    0.939398998   13.646095205    2.986699595   13.738809109
    0.946577629   13.660138105    2.988055200   13.753451395
    0.953756260   13.674322090    2.989423353   13.768242756
    0.960934891   13.688648073    2.990804108   13.783184208
    0.968113523   13.703116980    2.992197525   13.798276781
    0.975292154   13.717729750    2.993603661   13.813521521
    0.982470785   13.732487335    2.995022576   13.828919486
    0.989649416   13.747390700    2.996454328   13.844471755
    0.996828047   13.762440825    2.997898979   13.860179416
    1.004006678   13.777638701    2.999356589   13.876043578
    1.011185309   13.792985335    3.000827221   13.892065365
    1.018363940   13.808481749    3.002310937   13.908245914
    1.025542571   13.824128976    3.003807801   13.924586383
    1.032721202   13.839928066    3.005317876   13.941087945
    1.039899833   13.855880084    3.006841228   13.957751789
    1.047078464   13.871986108    3.008377922   13.974579122
    1.054257095   13.888247234    3.009928025   13.991571171
    1.061435726   13.904664570    3.011491604   14.008729178
    1.068614357   13.921239243    3.013068727   14.026054405
    1.075792988   13.937972393    3.014659463   14.043548130
    1.082971619   13.954865178    3.016263881   14.061211652
    1.090150250   13.971918772    3.017882053   14.079046290
    1.097328881   13.989134365    3.019514050   14.097053380
    1.104507513   14.006513165    3.021159944   14.115234279
    1.111686144   14.024056396    3.022819807   14.133590364
    1.118864775   14.041765299    3.024493715   14.152123033
    1.126043406   14.059641134    3.026181742   14.170833702
    1.133222037   14.077685180    3.027883963   14.189723812
    1.140400668   14.095898731    3.029600455   14.208794822
    1.147579299   14.114283101    3.031331297   14.228048217
    1.154757930   14.132839625    3.033076566   14.247485498
    1.161936561   14.151569653    3.034836342   14.267108195
    1.169115192   14.170474559    3.036610705   14.286917857
    1.176293823   14.189555732    3.038399737   14.306916058
    1.183472454   14.208814585    3.040203520   14.327104394
    1.190651085   14.228252549    3.042022137   14.347484488
    1.197829716   14.247871078    3.043855673   14.368057984
    1.205008347   14.267671644    3.045704213   14.388826554
    1.212186978   14.287655744    3.047567843   14.409791895
    1.219365609   14.307824893    3.049446651   14.430955729
    1.226544240   14.328180631    3.051340725   14.452319805
    1.233722871   14.348724521    3.053250155   14.473885897
    1.240901503   14.369458145    3.055175030   14.495655811
    1.248080134   14.390383113    3.057115444   14.517631375
    1.255258765   14.411501056    3.059071489   14.539814450
    1.262437396   14.432813629    3.061043257   14.562206924
    1.269616027   14.454322513    3.063030846   14.584810715
    1.276794658   14.476029413    3.065034350   14.607627769
    1.283973289   14.497936060    3.067053867   14.630660065
    1.291151920   14.520044210    3.069089496   14.653909613
    1.298330551   14.542355646    3.071141336   14.677378453
    1.305509182   14.564872177    3.073209488   14.701068658
    1.312687813   14.587595640    3.075294054   14.724982335
    1.319866444   14.610527901    3.077395138   14.749121624
    1.327045075   14.633670851    3.079512844   14.773488698
    1.334223706   14.657026412    3.081647278   14.798085766
    1.341402337   14.680596535    3.083798548   14.822915074
    1.348580968   14.704383200    3.085966762   14.847978900
    1.355759599   14.728388419    3.088152029   14.873279564
    1.362938230   14.752614233    3.090354461   14.898819419
    1.370116861   14.777062716    3.092574171   14.924600861
    1.377295492   14.801735972    3.094811272   14.950626322
    1.384474124   14.826636142    3.097065880   14.976898276
    1.391652755   14.851765394    3.099338112   15.003419235
    1.398831386   14.877125936    3.101628085   15.030191756
    1.406010017   14.902720006    3.103935919   15.057218437
    1.413188648   14.928549881    3.106261736   15.084501919
    1.420367279   14.954617871    3.108605659   15.112044888
    1.427545910   14.980926323    3.110967810   15.139850074
    1.434724541   15.007477623    3.113348317   15.167920256
    1.441903172   15.034274194    3.115747306   15.196258258
    1.449081803   15.061318497    3.118164907   15.224866951
    1.456260434   15.088613034    3.120601250   15.253749257
    1.463439065   15.116160347    3.123056466   15.282908149
    1.470617696   15.143963019    3.125530691   15.312346650
    1.477796327   15.172023673    3.128024059   15.342067834
    1.484974958   15.200344979    3.130536707   15.372074832
    1.492153589   15.228929647    3.133068776   15.402370827
    1.499332220   15.257780434    3.135620405   15.432959059
    1.506510851   15.286900140    3.138191736   15.463842824
    1.513689482   15.316291614    3.140782915   15.495025479
    1.520868114   15.345957751    3.143394088   15.526510439
    1.528046745   15.375901495    3.146025402   15.558301180
    1.535225376   15.406125839    3.148677008   15.590401240
    1.542404007   15.436633826    3.151349057   15.622814224
    1.549582638   15.467428551    3.154041704   15.655543800
    1.556761269   15.498513163    3.156755105   15.688593702
    1.563939900   15.529890863    3.159489417   15.721967735
    1.571118531   15.561564905    3.162244800   15.755669771
    1.578297162   15.593538594    3.165021415   15.789703745
    1.585475793   15.625815270    3.167819428   15.824073649
    1.592654424   15.658398331    3.170639001   15.858783542
    1.599833055   15.691291333    3.173480306   15.893837668
    1.607011686   15.724497887    3.176343518   15.929240342
    1.614190317   15.758021571    3.179228806   15.964995859
    1.621368948   15.791866033    3.182136347   16.001108605
    1.628547579   15.826035007    3.185066316   16.037583068
    1.635726210   15.860532298    3.188018894   16.074423832
    1.642904841   15.895361782    3.190994264   16.111635570
    1.650083472   15.930527404    3.193992610   16.149223046
    1.657262104   15.966033181    3.197014120   16.187191119
    1.664440735   16.001883203    3.200058983   16.225544743
    1.671619366   16.038081635    3.203127393   16.264288969
    1.678797997   16.074632717    3.206219543   16.303428950
    1.685976628   16.111540769    3.209335633   16.342969942
    1.693155259   16.148810191    3.212475862   16.382917307
    1.700333890   16.186445463    3.215640433   16.423276514
    1.707512521   16.224451153    3.218829553   16.464053146
    1.714691152   16.262831910    3.222043430   16.505252890
    1.721869783   16.301592476    3.225282276   16.546881544
    1.729048414   16.340737679    3.228546306   16.588945050
    1.736227045   16.380272444    3.231835738   16.631449510
    1.743405676   16.420201787    3.235150792   16.674401107
