# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000   11.868036586   11.930295558    4.439750111
    0.207178631   11.870507895   11.932781334    4.440411042
    0.214357262   11.873067696   11.935356181    4.441095902
    0.221535893   11.875716130   11.938020250    4.441804760
    0.228714524   11.878453345   11.940773697    4.442537686
    0.235893155   11.881279495   11.943616683    4.443294757
    0.243071786   11.884194735   11.946549375    4.444076050
    0.250250417   11.887199231   11.949571946    4.444881648
    0.257429048   11.890293149   11.952684575    4.445711634
    0.264607679   11.893476665   11.955887447    4.446566099
    0.271786311   11.896749956   11.959180752    4.447445134
    0.278964942   11.900113208   11.962564686    4.448348836
    0.286143573   11.903566610   11.966039451    4.449277304
    0.293322204   11.907110358   11.969605258    4.450230643
    0.300500835   11.910744653   11.973262319    4.451208962
    0.307679466   11.914469701   11.977010857    4.452212374
    0.314858097   11.918285716   11.980851098    4.453240995
    0.322036728   11.922192915   11.984783278    4.454294949
    0.329215359   11.926191521   11.988807635    4.455374363
    0.336393990   11.930281766   11.992924419    4.456479369
    0.343572621   11.934463883   11.997133881    4.457610106
    0.350751252   11.938738115   12.001436285    4.458766716
    0.357929883   11.943104710   12.005831896    4.459949350
    0.365108514   11.947563920   12.010320991    4.461158164
    0.372287145   11.952116007   12.014903852    4.462393319
    0.379465776   11.956761236   12.019580768    4.463654986
    0.386644407   11.961499880   12.024352038    4.464943340
    0.393823038   11.966332218   12.029217965    4.466258565
    0.401001669   11.971258535   12.034178864    4.467600854
    0.408180301   11.976279124   12.039235055    4.468970407
    0.415358932   11.981394284   12.044386868    4.470367434
    0.422537563   11.986604321   12.049634642    4.471792152
    0.429716194   11.991909547   12.054978722    4.473244791
    0.436894825   11.997310283   12.060419465    4.474725589
    0.444073456   12.002806856   12.065957236    4.476234798
    0.451252087   12.008399601   12.071592409    4.477772679
    0.458430718   12.014088859   12.077325369    4.479339506
    0.465609349   12.019874981   12.083156510    4.480935569
    0.472787980   12.025758324   12.089086238    4.482561169
    0.479966611   12.031739254   12.095114968    4.484216624
    0.487145242   12.037818146   12.101243128    4.485902269
    0.494323873   12.043995382   12.107471157    4.487618454
    0.501502504   12.050271353   12.113799505    4.489365550
    0.508681135   12.056646459   12.120228637    4.491143946
    0.515859766   12.063121110   12.126759029    4.492954055
    0.523038397   12.069695724   12.133391172    4.494796312
    0.530217028   12.076370731   12.140125572    4.496671175
    0.537395659   12.083146568   12.146962748    4.498579132
    0.544574290   12.090023684   12.153903239    4.500520700
    0.551752922   12.097002541   12.160947596    4.502496424
    0.558931553   12.104083608   12.168096391    4.504506887
    0.566110184   12.111267368   12.175350214    4.506552707
    0.573288815   12.118554318   12.182709675    4.508634544
    0.580467446   12.125944964   12.190175404    4.510753100
    0.587646077   12.133439828   12.197748057    4.512909127
    0.594824708   12.141039446   12.205428309    4.515103428
    0.602003339   12.148744366   12.213216866    4.517336865
    0.609181970   12.156555156   12.221114459    4.519610362
    0.616360601   12.164472397   12.229121850    4.521924912
    0.623539232   12.172496689   12.237239832    4.524281587
    0.630717863   12.180628650   12.245469235    4.526681543
    0.637896494   12.188868919   12.253810927    4.529126027
    0.645075125   12.197218156   12.262265816    4.531616395
    0.652253756   12.205677044   12.270834857    4.534154114
    0.659432387   12.214246291   12.279519054    4.536740783
    0.666611018   12.222926631   12.288319467    4.539378146
    0.673789649   12.231718829   12.297237218    4.542068108
    0.680968280   12.240623681   12.306273494    4.544812754
    0.688146912   12.249642019   12.315429559    4.547614379
    0.695325543   12.258774714   12.324706760    4.550475507
    0.702504174   12.268022680   12.334106540    4.553398927
    0.709682805   12.277386878   12.343630448    4.556387728
    0.716861436   12.286868325   12.353280153    4.559445343
    0.724040067   12.296468096   12.363057461    4.562575598
    0.731218698   12.306187337   12.372964335    4.565782772
    0.738397329   12.316027269   12.383002920    4.569071668
    0.745575960   12.325989204   12.393175563    4.572447699
    0.752754591   12.336074555   12.403484857    4.575916986
    0.759933222   12.346284856   12.413933672    4.579486483
    0.767111853   12.356621775   12.424525207    4.583164124
    0.774290484   12.367087144   12.435263048    4.586959003
    0.781469115   12.377682986   12.446151243    4.590881600
    0.788647746   12.388411551   12.457194387    4.594944052
    0.795826377   12.399275359   12.468397735    4.599160497
    0.803005008   12.410277259   12.479767344    4.603547504
    0.810183639   12.421420500   12.491310249    4.608124623
    0.817362270   12.432708822   12.503034687    4.612915074
    0.824540902   12.444146571   12.514950393    4.617946652
    0.831719533   12.455738855   12.527068975    4.623252899
    0.838898164   12.467491746   12.539404422    4.628874645
    0.846076795   12.479412544   12.551973764    4.634862065
    0.853255426   12.491510143   12.564797976    4.641277450
    0.860434057   12.503795524   12.577903201    4.648198988
    0.867612688   12.516282431   12.591322444    4.655725978
    0.874791319   12.528988324   12.605097929    4.663986110
    0.881969950   12.541935717   12.619284426    4.673145708
    0.889148581   12.555154059   12.633953941    4.683424198
    0.896327212   12.568682374   12.649202271    4.695114336
    0.903505843   12.582572808   12.665157822    4.708609372
    0.910684474   12.596894782   12.681991946    4.724434953
    0.917863105   12.611737504   12.699925182    4.743268355
    0.925041736   12.627200623   12.719204017    4.765866812
    0.932220367   12.643331435   12.739944713    4.792585894
    0.939398998   12.659842567   12.761431252    4.821214380
    0.946577629   12.675004937   12.779362263    4.838483913
    0.953756260   12.682647955   12.778390955    4.797062475
    0.960934891   12.674706472   12.738459019    4.635087860
    0.968113523   12.666149175   12.696789998    4.467352485
    0.975292154   12.673459054   12.694373268    4.420262352
    0.982470785   12.689110782   12.712492921    4.436094906
    0.989649416   12.706587190   12.734940162    4.464859327
    0.996828047   12.724005421   12.757031058    4.492106862
    1.004006678   12.741038904   12.777951909    4.515324281
    1.011185309   12.757727321   12.797799817    4.534807118
    1.018363940   12.774170208   12.816820706    4.551309750
    1.025542571   12.790458152   12.835238225    4.565517735
    1.032721202   12.806662040   12.853227010    4.577965336
    1.039899833   12.822835298   12.870918246    4.589052679
    1.047078464   12.839018048   12.888410021    4.599077661
    1.054257095   12.855240710   12.905776262    4.608263505
    1.061435726   12.871526683   12.923073425    4.616779366
    1.068614357   12.887894276   12.940345280    4.624755084
    1.075792988   12.904358071   12.957626309    4.632291638
    1.082971619   12.920929891   12.974944114    4.639468563
    1.090150250   12.937619497   12.992321154    4.646349269
    1.097328881   12.954435096   13.009776000    4.652984891
    1.104507513   12.971383705   13.027324255    4.659417109
    1.111686144   12.988471434   13.044979253    4.665680242
    1.118864775   13.005703693   13.062752570    4.671802817
    1.126043406   13.023085350   13.080654435    4.677808766
    1.133222037   13.040620859   13.098694041    4.683718333
    1.140400668   13.058314355   13.116879793    4.689548793
    1.147579299   13.076169738   13.135219518    4.695315001
    1.154757930   13.094190735   13.153720632    4.701029837
    1.161936561   13.112380960   13.172390290    4.706704555
    1.169115192   13.130743957   13.191235519    4.712349068
    1.176293823   13.149283251   13.210263342    4.717972178
    1.183472454   13.168002383   13.229480898    4.723581763
    1.190651085   13.186904954   13.248895570    4.729184942
    1.197829716   13.205994669   13.268515111    4.734788200
    1.205008347   13.225275376   13.288347798    4.740397505
    1.212186978   13.244751123   13.308402598    4.746018409
    1.219365609   13.264426211   13.328689373    4.751656131
    1.226544240   13.284305265   13.349219123    4.757315640
    1.233722871   13.304393318   13.370004291    4.763001731
    1.240901503   13.324695917   13.391059156    4.768719094
    1.248080134   13.345219256   13.412400325    4.774472397
    1.255258765   13.365970351   13.434047390    4.780266360
    1.262437396   13.386957267   13.456023790    4.786105851
    1.269616027   13.408189426   13.478357980    4.791995990
    1.276794658   13.429678022   13.501085011    4.797942286
    1.283973289   13.451436591   13.524248726    4.803950801
    1.291151920   13.473481809   13.547904818    4.810028383
    1.298330551   13.495834611   13.572125134    4.816182958
    1.305509182   13.518521759   13.597003752    4.822423955
    1.312687813   13.541578029   13.622665407    4.828762864
    1.319866444   13.565049078   13.649276591    4.835213973
    1.327045075   13.588994576   13.677057668    4.841795169
    1.334223706   13.613489049   13.706286065    4.848528198
    1.341402337   13.638609375   13.737247600    4.855435701
    1.348580968   13.664364203   13.769962120    4.862524241
    1.355759599   13.690388296   13.802995523    4.869710560
    1.362938230   13.714799828   13.829018904    4.876545674
    1.370116861   13.731792713   13.825451767    4.881633453
    1.377295492   13.737721315   13.778108082    4.884100467
    1.384474124   13.748268178   13.747912835    4.887742844
    1.391652755   13.770514964   13.762364587    4.894280564
    1.398831386   13.797567020   13.794645302    4.902059385
    1.406010017   13.825620709   13.829946545    4.910173648
    1.413188648   13.853714713   13.864502521    4.918406705
    1.420367279   13.881726671   13.897804066    4.926747686
    1.427545910   13.909721288   13.930064532    4.935234900
    1.434724541   13.937789122   13.961592321    4.943918050
    1.441903172   13.966012431   13.992656962    4.952851552
    1.449081803   13.994461754   14.023474240    4.962095851
    1.456260434   14.023199222   14.054217024    4.971721201
    1.463439065   14.052282849   14.085029238    4.981812872
    1.470617696   14.081770681   14.116038366    4.992478035
