# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.200000000    2.451865704    6.626140310    7.050836077
    0.207178631    2.451535981    6.624717638    7.049563450
    0.214357262    2.451194820    6.623245760    7.048246616
    0.221535893    2.450842238    6.621724774    7.046885645
    0.228714524    2.450478257    6.620154781    7.045480607
    0.235893155    2.450102895    6.618535885    7.044031574
    0.243071786    2.449716175    6.616868193    7.042538621
    0.250250417    2.449318118    6.615151815    7.041001826
    0.257429048    2.448908746    6.613386864    7.039421268
    0.264607679    2.448488082    6.611573457    7.037797027
    0.271786311    2.448056149    6.609711712    7.036129188
    0.278964942    2.447612971    6.607801751    7.034417835
    0.286143573    2.447158574    6.605843700    7.032663056
    0.293322204    2.446692981    6.603837684    7.030864940
    0.300500835    2.446216219    6.601783836    7.029023580
    0.307679466    2.445728315    6.599682287    7.027139068
    0.314858097    2.445229294    6.597533174    7.025211499
    0.322036728    2.444719184    6.595336635    7.023240972
    0.329215359    2.444198014    6.593092812    7.021227586
    0.336393990    2.443665811    6.590801848    7.019171442
    0.343572621    2.443122606    6.588463890    7.017072643
    0.350751252    2.442568427    6.586079087    7.014931294
    0.357929883    2.442003304    6.583647590    7.012747503
    0.365108514    2.441427268    6.581169555    7.010521377
    0.372287145    2.440840351    6.578645136    7.008253028
    0.379465776    2.440242584    6.576074494    7.005942569
    0.386644407    2.439633999    6.573457790    7.003590113
    0.393823038    2.439014629    6.570795188    7.001195776
    0.401001669    2.438384506    6.568086855    6.998759677
    0.408180301    2.437743666    6.565332957    6.996281934
    0.415358932    2.437092142    6.562533668    6.993762670
    0.422537563    2.436429968    6.559689158    6.991202006
    0.429716194    2.435757180    6.556799605    6.988600068
    0.436894825    2.435073813    6.553865186    6.985956982
    0.444073456    2.434379904    6.550886079    6.983272875
    0.451252087    2.433675488    6.547862467    6.980547878
    0.458430718    2.432960604    6.544794534    6.977782120
    0.465609349    2.432235288    6.541682465    6.974975736
    0.472787980    2.431499578    6.538526449    6.972128859
    0.479966611    2.430753512    6.535326675    6.969241625
    0.487145242    2.429997130    6.532083335    6.966314171
    0.494323873    2.429230471    6.528796623    6.963346637
    0.501502504    2.428453574    6.525466734    6.960339161
    0.508681135    2.427666478    6.522093866    6.957291886
    0.515859766    2.426869225    6.518678217    6.954204956
    0.523038397    2.426061856    6.515219990    6.951078514
    0.530217028    2.425244411    6.511719386    6.947912707
    0.537395659    2.424416932    6.508176611    6.944707681
    0.544574290    2.423579461    6.504591869    6.941463587
    0.551752922    2.422732041    6.500965370    6.938180572
    0.558931553    2.421874714    6.497297321    6.934858790
    0.566110184    2.421007523    6.493587934    6.931498392
    0.573288815    2.420130512    6.489837422    6.928099533
    0.580467446    2.419243725    6.486045998    6.924662367
    0.587646077    2.418347205    6.482213877    6.921187051
    0.594824708    2.417440997    6.478341277    6.917673743
    0.602003339    2.416525147    6.474428415    6.914122600
    0.609181970    2.415599699    6.470475511    6.910533785
    0.616360601    2.414664698    6.466482787    6.906907456
    0.623539232    2.413720192    6.462450463    6.903243777
    0.630717863    2.412766225    6.458378763    6.899542911
    0.637896494    2.411802843    6.454267913    6.895805023
    0.645075125    2.410830095    6.450118137    6.892030277
    0.652253756    2.409848027    6.445929664    6.888218841
    0.659432387    2.408856686    6.441702720    6.884370883
    0.666611018    2.407856120    6.437437536    6.880486571
    0.673789649    2.406846376    6.433134342    6.876566074
    0.680968280    2.405827503    6.428793368    6.872609563
    0.688146912    2.404799549    6.424414848    6.868617211
    0.695325543    2.403762564    6.419999014    6.864589189
    0.702504174    2.402716595    6.415546102    6.860525672
    0.709682805    2.401661692    6.411056345    6.856426832
    0.716861436    2.400597904    6.406529981    6.852292847
    0.724040067    2.399525282    6.401967247    6.848123892
    0.731218698    2.398443874    6.397368379    6.843920144
    0.738397329    2.397353732    6.392733617    6.839681781
    0.745575960    2.396254905    6.388063200    6.835408982
    0.752754591    2.395147444    6.383357368    6.831101926
    0.759933222    2.394031399    6.378616362    6.826760793
    0.767111853    2.392906823    6.373840423    6.822385766
    0.774290484    2.391773764    6.369029794    6.817977025
    0.781469115    2.390632277    6.364184717    6.813534753
    0.788647746    2.389482410    6.359305436    6.809059133
    0.795826377    2.388324217    6.354392195    6.804550350
    0.803005008    2.387157750    6.349445237    6.800008588
    0.810183639    2.385983059    6.344464809    6.795434033
    0.817362270    2.384800199    6.339451156    6.790826869
    0.824540902    2.383609220    6.334404523    6.786187285
    0.831719533    2.382410175    6.329325157    6.781515468
    0.838898164    2.381203118    6.324213305    6.776811604
    0.846076795    2.379988100    6.319069215    6.772075883
    0.853255426    2.378765176    6.313893132    6.767308493
    0.860434057    2.377534397    6.308685307    6.762509625
    0.867612688    2.376295818    6.303445986    6.757679467
    0.874791319    2.375049491    6.298175418    6.752818212
    0.881969950    2.373795470    6.292873852    6.747926049
    0.889148581    2.372533809    6.287541537    6.743003171
    0.896327212    2.371264561    6.282178722    6.738049769
    0.903505843    2.369987780    6.276785657    6.733066036
    0.910684474    2.368703520    6.271362591    6.728052165
    0.917863105    2.367411835    6.265909774    6.723008350
    0.925041736    2.366112779    6.260427455    6.717934784
    0.932220367    2.364806406    6.254915885    6.712831661
    0.939398998    2.363492770    6.249375313    6.707699175
    0.946577629    2.362171926    6.243805990    6.702537523
    0.953756260    2.360843927    6.238208166    6.697346899
    0.960934891    2.359508830    6.232582090    6.692127498
    0.968113523    2.358166686    6.226928012    6.686879517
    0.975292154    2.356817553    6.221246184    6.681603151
    0.982470785    2.355461483    6.215536854    6.676298598
    0.989649416    2.354098532    6.209800273    6.670966054
    0.996828047    2.352728754    6.204036690    6.665605716
    1.004006678    2.351352204    6.198246355    6.660217781
    1.011185309    2.349968937    6.192429517    6.654802447
    1.018363940    2.348579007    6.186586427    6.649359912
    1.025542571    2.347182470    6.180717332    6.643890373
    1.032721202    2.345779379    6.174822482    6.638394029
    1.039899833    2.344369790    6.168902126    6.632871078
    1.047078464    2.342953758    6.162956513    6.627321718
    1.054257095    2.341531338    6.156985890    6.621746149
    1.061435726    2.340102583    6.150990505    6.616144568
    1.068614357    2.338667550    6.144970606    6.610517175
    1.075792988    2.337226293    6.138926441    6.604864168
    1.082971619    2.335778866    6.132858257    6.599185747
    1.090150250    2.334325325    6.126766300    6.593482111
    1.097328881    2.332865725    6.120650816    6.587753458
    1.104507513    2.331400119    6.114512052    6.581999989
    1.111686144    2.329928563    6.108350254    6.576221903
    1.118864775    2.328451112    6.102165665    6.570419398
    1.126043406    2.326967819    6.095958531    6.564592674
    1.133222037    2.325478741    6.089729097    6.558741931
    1.140400668    2.323983930    6.083477606    6.552867368
    1.147579299    2.322483443    6.077204301    6.546969184
    1.154757930    2.320977332    6.070909425    6.541047578
    1.161936561    2.319465654    6.064593221    6.535102750
    1.169115192    2.317948461    6.058255930    6.529134899
    1.176293823    2.316425808    6.051897793    6.523144224
    1.183472454    2.314897750    6.045519052    6.517130923
    1.190651085    2.313364341    6.039119945    6.511095196
    1.197829716    2.311825635    6.032700714    6.505037242
    1.205008347    2.310281685    6.026261596    6.498957259
    1.212186978    2.308732546    6.019802831    6.492855446
    1.219365609    2.307178271    6.013324655    6.486732002
    1.226544240    2.305618915    6.006827306    6.480587123
    1.233722871    2.304054531    6.000311020    6.474421010
    1.240901503    2.302485173    5.993776033    6.468233858
    1.248080134    2.300910893    5.987222580    6.462025867
    1.255258765    2.299331746    5.980650896    6.455797234
    1.262437396    2.297747785    5.974061214    6.449548155
    1.269616027    2.296159062    5.967453766    6.443278829
    1.276794658    2.294565632    5.960828786    6.436989452
    1.283973289    2.292967547    5.954186505    6.430680220
    1.291151920    2.291364859    5.947527153    6.424351330
    1.298330551    2.289757623    5.940850961    6.418002978
    1.305509182    2.288145889    5.934158157    6.411635360
    1.312687813    2.286529711    5.927448971    6.405248671
    1.319866444    2.284909141    5.920723629    6.398843107
    1.327045075    2.283284231    5.913982359    6.392418863
    1.334223706    2.281655034    5.907225387    6.385976133
    1.341402337    2.280021601    5.900452938    6.379515111
    1.348580968    2.278383985    5.893665235    6.373035992
    1.355759599    2.276742236    5.886862504    6.366538969
    1.362938230    2.275096407    5.880044966    6.360024236
    1.370116861    2.273446549    5.873212843    6.353491984
    1.377295492    2.271792713    5.866366357    6.346942408
    1.384474124    2.270134950    5.859505727    6.340375698
    1.391652755    2.268473312    5.852631172    6.333792048
    1.398831386    2.266807849    5.845742912    6.327191647
    1.406010017    2.265138611    5.838841162    6.320574688
    1.413188648    2.263465651    5.831926140    6.313941360
    1.420367279    2.261789016    5.824998062    6.307291854
    1.427545910    2.260108759    5.818057141    6.300626360
    1.434724541    2.258424929    5.811103592    6.293945066
    1.441903172    2.256737575    5.804137627    6.287248162
    1.449081803    2.255046748    5.797159459    6.280535836
    1.456260434    2.253352497    5.790169297    6.273808276
    1.463439065    2.251654872    5.783167353    6.267065669
    1.470617696    2.249953921    5.776153834    6.260308201
    1.477796327    2.248249693    5.769128949    6.253536061
    1.484974958    2.246542238    5.762092905    6.246749433
    1.492153589    2.244831604    5.755045908    6.239948502
    1.499332220    2.243117840    5.747988163    6.233133455
    1.506510851    2.241400993    5.740919874    6.226304475
    1.513689482    2.239681112    5.733841244    6.219461745
    1.520868114    2.237958245    5.726752474    6.212605450
    1.528046745    2.236232440    5.719653766    6.205735773
    1.535225376    2.234503744    5.712545321    6.198852894
    1.542404007    2.232772204    5.705427335    6.191956997
    1.549582638    2.231037868    5.698300009    6.185048262
    1.556761269    2.229300782    5.691163538    6.178126869
    1.563939900    2.227560994    5.684018119    6.171193000
    1.571118531    2.225818549    5.676863946    6.164246832
    1.578297162    2.224073495    5.669701213    6.157288545
    1.585475793    2.222325877    5.662530113    6.150318317
    1.592654424    2.220575742    5.655350837    6.143336326
    1.599833055    2.218823134    5.648163576    6.136342749
    1.607011686    2.217068101    5.640968519    6.129337762
    1.614190317    2.215310686    5.633765856    6.122321540
    1.621368948    2.213550936    5.626555774    6.115294260
    1.628547579    2.211788895    5.619338458    6.108256095
    1.635726210    2.210024607    5.612114094    6.101207219
    1.642904841    2.208258118    5.604882867    6.094147806
    1.650083472    2.206489472    5.597644959    6.087078028
    1.657262104    2.204718712    5.590400553    6.079998057
    1.664440735    2.202945884    5.583149830    6.072908065
    1.671619366    2.201171029    5.575892969    6.065808221
    1.678797997    2.199394193    5.568630149    6.058698697
    1.685976628    2.197615417    5.561361549    6.051579660
    1.693155259    2.195834745    5.554087344    6.044451281
    1.700333890    2.194052221    5.546807711    6.037313726
    1.707512521    2.192267885    5.539522823    6.030167162
    1.714691152    2.190481782    5.532232855    6.023011758
    1.721869783    2.188693953    5.524937978    6.015847677
    1.729048414    2.186904439    5.517638363    6.008675086
    1.736227045    2.185113283    5.510334182    6.001494149
    1.743405676    2.183320526    5.503025602    5.994305030
    1.750584307    2.181526210    5.495712792    5.987107891
    1.757762938    2.179730374    5.488395919    5.979902895
    1.764941569    2.177933061    5.481075147    5.972690203
    1.772120200    2.176134311    5.473750643    5.965469977
    1.779298831    2.174334164    5.466422569    5.958242376
    1.786477462    2.172532660    5.459091088    5.951007560
    1.793656093    2.170729840    5.451756361    5.943765688
    1.800834725    2.168925742    5.444418549    5.936516917
    1.808013356    2.167120406    5.437077810    5.929261405
    1.815191987    2.165313872    5.429734303    5.921999307
    1.822370618    2.163506179    5.422388185    5.914730781
    1.829549249    2.161697365    5.415039610    5.907455981
    1.836727880    2.159887468    5.407688736    5.900175060
    1.843906511    2.158076528    5.400335714    5.892888173
    1.851085142    2.156264582    5.392980697    5.885595473
    1.858263773    2.154451668    5.385623838    5.878297110
    1.865442404    2.152637824    5.378265286    5.870993236
    1.872621035    2.150823087    5.370905190    5.863684002
    1.879799666    2.149007495    5.363543699    5.856369558
    1.886978297    2.147191083    5.356180961    5.849050051
    1.894156928    2.145373890    5.348817120    5.841725631
    1.901335559    2.143555950    5.341452323    5.834396445
    1.908514190    2.141737302    5.334086713    5.827062638
    1.915692821    2.139917980    5.326720432    5.819724358
    1.922871452    2.138098020    5.319353623    5.812381748
    1.930050083    2.136277459    5.311986425    5.805034953
    1.937228715    2.134456330    5.304618980    5.797684117
    1.944407346    2.132634670    5.297251425    5.790329383
    1.951585977    2.130812514    5.289883897    5.782970891
    1.958764608    2.128989895    5.282516533    5.775608783
    1.965943239    2.127166848    5.275149469    5.768243200
    1.973121870    2.125343408    5.267782838    5.760874280
    1.980300501    2.123519608    5.260416774    5.753502163
    1.987479132    2.121695482    5.253051408    5.746126987
    1.994657763    2.119871064    5.245686872    5.738748888
    2.001836394    2.118046386    5.238323296    5.731368003
    2.009015025    2.116221482    5.230960809    5.723984467
    2.016193656    2.114396385    5.223599539    5.716598416
    2.023372287    2.112571127    5.216239612    5.709209982
    2.030550918    2.110745740    5.208881154    5.701819300
    2.037729549    2.108920256    5.201524291    5.694426502
    2.044908180    2.107094708    5.194169145    5.687031718
    2.052086811    2.105269127    5.186815840    5.679635080
    2.059265442    2.103443544    5.179464497    5.672236718
    2.066444073    2.101617991    5.172115236    5.664836761
    2.073622705    2.099792499    5.164768178    5.657435337
    2.080801336    2.097967097    5.157423441    5.650032574
    2.087979967    2.096141818    5.150081143    5.642628598
    2.095158598    2.094316690    5.142741400    5.635223536
    2.102337229    2.092491744    5.135404327    5.627817512
    2.109515860    2.090667011    5.128070040    5.620410651
    2.116694491    2.088842518    5.120738652    5.613003076
    2.123873122    2.087018297    5.113410274    5.605594911
    2.131051753    2.085194375    5.106085020    5.598186276
    2.138230384    2.083370783    5.098762999    5.590777294
    2.145409015    2.081547548    5.091444320    5.583368084
    2.152587646    2.079724699    5.084129093    5.575958766
    2.159766277    2.077902264    5.076817425    5.568549459
    2.166944908    2.076080271    5.069509423    5.561140281
    2.174123539    2.074258749    5.062205192    5.553731348
    2.181302170    2.072437724    5.054904837    5.546322777
    2.188480801    2.070617225    5.047608461    5.538914684
    2.195659432    2.068797277    5.040316168    5.531507184
    2.202838063    2.066977909    5.033028059    5.524100389
    2.210016694    2.065159147    5.025744234    5.516694415
    2.217195326    2.063341017    5.018464794    5.509289372
    2.224373957    2.061523545    5.011189838    5.501885372
    2.231552588    2.059706758    5.003919463    5.494482527
    2.238731219    2.057890682    4.996653767    5.487080946
    2.245909850    2.056075342    4.989392846    5.479680738
    2.253088481    2.054260763    4.982136794    5.472282012
    2.260267112    2.052446971    4.974885706    5.464884875
    2.267445743    2.050633990    4.967639676    5.457489434
    2.274624374    2.048821846    4.960398795    5.450095796
    2.281803005    2.047010563    4.953163156    5.442704065
    2.288981636    2.045200165    4.945932848    5.435314346
    2.296160267    2.043390677    4.938707962    5.427926743
    2.303338898    2.041582122    4.931488586    5.420541359
    2.310517529    2.039774524    4.924274808    5.413158295
    2.317696160    2.037967907    4.917066715    5.405777653
