# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000    2.995885706   12.934612354   13.001695434
    0.207178631    2.996163694   12.937322404   13.004391573
    0.214357262    2.996451579   12.940129411   13.007184154
    0.221535893    2.996749370   12.943033524   13.010073322
    0.228714524    2.997057079   12.946034893   13.013059226
    0.235893155    2.997374716   12.949133676   13.016142020
    0.243071786    2.997702292   12.952330036   13.019321865
    0.250250417    2.998039818   12.955624140   13.022598925
    0.257429048    2.998387307   12.959016161   13.025973370
    0.264607679    2.998744769   12.962506278   13.029445375
    0.271786311    2.999112218   12.966094674   13.033015121
    0.278964942    2.999489666   12.969781539   13.036682793
    0.286143573    2.999877126   12.973567067   13.040448583
    0.293322204    3.000274612   12.977451457   13.044312686
    0.300500835    3.000682138   12.981434917   13.048275305
    0.307679466    3.001099718   12.985517656   13.052336646
    0.314858097    3.001527366   12.989699890   13.056496922
    0.322036728    3.001965098   12.993981842   13.060756352
    0.329215359    3.002412929   12.998363740   13.065115158
    0.336393990    3.002870873   13.002845816   13.069573570
    0.343572621    3.003338948   13.007428310   13.074131821
    0.350751252    3.003817170   13.012111466   13.078790153
    0.357929883    3.004305556   13.016895533   13.083548810
    0.365108514    3.004804122   13.021780769   13.088408044
    0.372287145    3.005312886   13.026767434   13.093368112
    0.379465776    3.005831867   13.031855797   13.098429276
    0.386644407    3.006361082   13.037046131   13.103591806
    0.393823038    3.006900550   13.042338716   13.108855975
    0.401001669    3.007450290   13.047733836   13.114222063
    0.408180301    3.008010321   13.053231783   13.119690357
    0.415358932    3.008580664   13.058832854   13.125261147
    0.422537563    3.009161339   13.064537353   13.130934733
    0.429716194    3.009752366   13.070345590   13.136711418
    0.436894825    3.010353765   13.076257880   13.142591511
    0.444073456    3.010965560   13.082274545   13.148575328
    0.451252087    3.011587770   13.088395913   13.154663192
    0.458430718    3.012220420   13.094622320   13.160855431
    0.465609349    3.012863530   13.100954105   13.167152380
    0.472787980    3.013517124   13.107391616   13.173554378
    0.479966611    3.014181226   13.113935208   13.180061774
    0.487145242    3.014855858   13.120585240   13.186674921
    0.494323873    3.015541047   13.127342079   13.193394178
    0.501502504    3.016236815   13.134206099   13.200219912
    0.508681135    3.016943188   13.141177680   13.207152496
    0.515859766    3.017660192   13.148257209   13.214192310
    0.523038397    3.018387852   13.155445080   13.221339740
    0.530217028    3.019126195   13.162741694   13.228595179
    0.537395659    3.019875248   13.170147458   13.235959026
    0.544574290    3.020635037   13.177662786   13.243431688
    0.551752922    3.021405590   13.185288102   13.251013579
    0.558931553    3.022186935   13.193023832   13.258705119
    0.566110184    3.022979101   13.200870414   13.266506735
